SKU,LOC,FECHA,UNI
Art01,LOC_001,4/4/2019,2
Art01,LOC_001,8/4/2019,3
Art01,LOC_001,9/4/2019,3
Art01,LOC_001,12/4/2019,2
Art01,LOC_001,16/4/2019,1
Art01,LOC_001,19/4/2019,1
Art01,LOC_001,22/4/2019,3
Art01,LOC_001,23/4/2019,1
Art01,LOC_001,24/4/2019,3
Art01,LOC_001,26/4/2019,3
Art01,LOC_001,30/4/2019,1
Art01,LOC_001,1/5/2019,2
Art01,LOC_001,6/5/2019,1
Art01,LOC_001,7/5/2019,3
Art01,LOC_001,8/5/2019,6
Art01,LOC_001,9/5/2019,3
Art01,LOC_001,12/5/2019,1
Art01,LOC_001,14/5/2019,3
Art01,LOC_001,15/5/2019,3
Art01,LOC_001,16/5/2019,2
Art01,LOC_001,18/5/2019,1
Art01,LOC_001,19/5/2019,2
Art01,LOC_001,20/5/2019,3
Art01,LOC_001,22/5/2019,4
Art01,LOC_001,23/5/2019,3
Art01,LOC_001,24/5/2019,1
Art01,LOC_001,26/5/2019,6
Art01,LOC_001,29/5/2019,6
Art01,LOC_001,31/5/2019,3
Art01,LOC_001,5/6/2019,4
Art01,LOC_001,6/6/2019,2
Art01,LOC_001,7/6/2019,1
Art01,LOC_001,8/6/2019,3
Art01,LOC_001,9/6/2019,3
Art01,LOC_001,10/6/2019,1
Art01,LOC_001,12/6/2019,1
Art01,LOC_001,16/6/2019,6
Art01,LOC_001,17/6/2019,1
Art01,LOC_001,18/6/2019,2
Art01,LOC_001,21/6/2019,2
Art01,LOC_001,22/6/2019,1
Art01,LOC_002,4/4/2019,6
Art01,LOC_002,5/4/2019,3
Art01,LOC_002,9/4/2019,4
Art01,LOC_002,17/4/2019,4
Art01,LOC_002,18/4/2019,3
Art01,LOC_002,24/4/2019,3
Art01,LOC_002,25/4/2019,1
Art01,LOC_002,26/4/2019,1
Art01,LOC_002,28/4/2019,1
Art01,LOC_002,30/4/2019,3
Art01,LOC_002,4/5/2019,3
Art01,LOC_002,10/5/2019,1
Art01,LOC_002,16/5/2019,2
Art01,LOC_002,17/5/2019,1
Art01,LOC_002,23/5/2019,3
Art01,LOC_002,1/6/2019,3
Art01,LOC_002,4/6/2019,3
Art01,LOC_002,6/6/2019,3
Art01,LOC_002,8/6/2019,2
Art01,LOC_002,10/6/2019,1
Art01,LOC_002,13/6/2019,2
Art01,LOC_002,21/6/2019,2
Art01,LOC_003,5/4/2019,3
Art01,LOC_003,8/4/2019,6
Art01,LOC_003,13/4/2019,2
Art01,LOC_003,17/4/2019,1
Art01,LOC_003,18/4/2019,2
Art01,LOC_003,19/4/2019,3
Art01,LOC_003,20/4/2019,2
Art01,LOC_003,24/4/2019,2
Art01,LOC_003,25/4/2019,1
Art01,LOC_003,27/4/2019,2
Art01,LOC_003,30/4/2019,3
Art01,LOC_003,2/5/2019,2
Art01,LOC_003,5/5/2019,1
Art01,LOC_003,6/5/2019,1
Art01,LOC_003,8/5/2019,1
Art01,LOC_003,9/5/2019,3
Art01,LOC_003,14/5/2019,3
Art01,LOC_003,16/5/2019,1
Art01,LOC_003,18/5/2019,3
Art01,LOC_003,20/5/2019,1
Art01,LOC_003,22/5/2019,2
Art01,LOC_003,24/5/2019,1
Art01,LOC_003,28/5/2019,4
Art01,LOC_003,5/6/2019,1
Art01,LOC_003,6/6/2019,3
Art01,LOC_003,8/6/2019,2
Art01,LOC_003,11/6/2019,3
Art01,LOC_003,12/6/2019,3
Art01,LOC_003,15/6/2019,3
Art01,LOC_003,17/6/2019,3
Art01,LOC_003,19/6/2019,3
Art01,LOC_003,23/6/2019,6
Art01,LOC_004,1/4/2019,1
Art01,LOC_004,2/4/2019,2
Art01,LOC_004,3/4/2019,3
Art01,LOC_004,4/4/2019,2
Art01,LOC_004,6/4/2019,1
Art01,LOC_004,8/4/2019,1
Art01,LOC_004,9/4/2019,5
Art01,LOC_004,10/4/2019,3
Art01,LOC_004,13/4/2019,2
Art01,LOC_004,14/4/2019,3
Art01,LOC_004,17/4/2019,1
Art01,LOC_004,20/4/2019,3
Art01,LOC_004,23/4/2019,1
Art01,LOC_004,24/4/2019,2
Art01,LOC_004,27/4/2019,9
